Time,IndoorConcentration,logIndoorConcentration,IndoorOutdoorPressure
37.08917,98.63531,1.994032414,-10.91264
37.23634,107.49763,2.031398889,-14.47898
37.26904,117.29534,2.069280758,-9.86821
37.4789,77.79536,1.890953695,-8.22939
37.50887,92.96754,1.968331339,-8.22939
37.50887,85.20706,1.930475581,-8.22939
37.62879,71.60441,1.854939771,-6.87078
37.7487,63.27716,1.801246979,-6.87078
38.1684,60.39967,1.781034566,-2.38738
38.52815,60.26888,1.780093121,-2.87987
38.66005,66.75629,1.824492193,-4.20209
38.85192,75.33642,1.877004979,-1.55098
39.30759,77.44657,1.889002188,-4.75523
39.54742,69.5117,1.84205791,-8.3143
39.57141,62.57086,1.796372124,-8.3143
39.84721,54.51391,1.736507333,-3.77995
39.96713,48.36657,1.68454529,-3.77995
40.31488,41.32981,1.616263409,-3.77995
40.57869,33.16823,1.520722296,-3.77995
40.68661,24.43115,1.38794391,-3.77995
40.80653,18.02221,1.255808046,-3.77995
41.28619,12.65963,1.102421013,-3.77995
42.00567,9.25897,0.966562677,-3.77995
42.72516,8.12542,0.909845819,-3.77995
43.44465,6.99186,0.844592724,-3.77995
44.16414,6.90467,0.839142927,-3.77995
44.88363,6.90467,0.839142927,-3.77995
45.60312,7.77663,0.890791436,-3.77995
46.3226,8.73579,0.941302185,-3.77995
47.04209,12.13645,1.084091671,-3.77995
47.37186,18.93777,1.277328838,-3.77995
47.53374,27.41326,1.437960685,-3.77995
47.64167,35.94108,1.555591123,-3.77995
47.76158,42.87319,1.632185799,-3.77995
47.8815,49.28213,1.69268947,-3.77995
47.98942,57.44371,1.759242481,-3.77995
48.06137,61.83841,1.791258314,-3.77995
48.33118,69.22831,1.84028373,-3.77995
48.54103,77.53377,1.889490902,-3.77995
48.84081,69.68609,1.843146097,-3.77995
48.90077,63.75674,1.804526103,-3.77995
49.04467,55.351,1.743125471,-3.77995
49.10063,48.06138,1.681796237,-3.77995
49.1406,41.95763,1.622810949,-3.77995
49.22054,37.59781,1.575162549,-3.77995
49.26051,31.49406,1.498228651,-3.77995
49.2845,24.27419,1.385144747,-3.77995
49.62026,18.00768,1.255457765,-3.77995
49.98,17.89142,1.252644811,-3.77995
50.03996,26.08788,1.416438788,-3.77995
50.15987,36.72584,1.564971738,-3.77995
50.21983,48.93334,1.68960486,-3.77995
50.21983,44.05034,1.643949265,-3.77995
50.27979,57.47859,1.759506106,-3.77995
50.33975,99.50727,1.997854811,-3.77995
50.33975,64.45431,1.809251964,-3.77995
50.33975,69.86049,1.844231627,-3.77995
50.33975,82.41677,1.91601559,-3.77995
50.33975,76.13863,1.881605058,-3.77995
50.4254,91.65959,1.96217791,-3.77995
50.45966,109.27327,2.03851394,-3.77995
50.45966,102.99513,2.01281669,-3.77995
50.66679,116.7246,2.067162394,-3.77995
51.29906,114.41786,2.058493821,-3.77995
51.47894,105.13144,2.021732613,-3.77995
51.50891,96.89138,1.986285141,-3.77995
51.62883,77.53377,1.889490902,-3.77995
51.65881,90.78763,1.958026679,-3.77995
51.65881,84.50949,1.926905481,-3.77995
51.74874,63.01557,1.799447869,-3.77995
51.8087,70.73245,1.849618701,-3.77995
51.89864,56.60663,1.752867301,-3.77995
51.9586,49.67451,1.696133592,-3.77995
52.06652,41.43445,1.617361578,-3.77995
52.31834,33.23799,1.521634753,-3.77995
53.01057,28.78304,1.459136661,-3.77995
53.15774,22.86161,1.359106812,-3.77995
53.2177,46.14306,1.664106392,-3.77995
53.28965,39.96955,1.601729259,-3.77995
53.39757,52.07241,1.716607678,-3.77995
53.57744,85.90463,1.934016572,-3.77995
53.62541,60.16424,1.779338435,-3.77995
53.67338,67.75033,1.830911415,-3.77995
53.69736,100.55363,2.002397753,-3.77995
53.78457,79.15087,1.898455693,-3.77995
53.84392,92.41529,1.965743831,-3.77995
53.90293,105.63593,2.02381166,-3.77995
54.07709,52.24681,1.718059779,-3.77995
54.11706,61.83841,1.791258314,-3.77995
54.13705,69.5117,1.84205791,-3.77995
54.17702,44.05034,1.643949265,-3.77995
54.17702,36.72584,1.564971738,-3.77995
54.17702,30.4477,1.483554492,-3.77995
54.17702,78.58013,1.895312743,-3.77995
54.35689,24.16956,1.383268744,-3.77995
55.07638,20.42011,1.310058077,-3.77995
55.82156,19.23673,1.284131249,-3.77995
56.39544,25.12872,1.400170367,-3.77995
57.11493,24.16956,1.383268744,0.28455
57.59459,17.36824,1.239755812,3.42916
58.16846,17.6672,1.247167725,-5.51217
58.54191,26.15764,1.417598558,-1.61235
58.73378,52.4212,1.719506958,-1.84393
58.73378,32.71481,1.514744402,-1.84393
58.73378,38.46977,1.58511959,-1.84393
58.8337,46.57904,1.668190533,-3.32142
58.85369,69.5117,1.84205791,-4.2215
58.85369,63.23356,1.800947633,-4.2215
58.85369,56.95541,1.755534983,-4.2215
58.93934,77.16007,1.887392613,-5.75672
58.9736,96.71699,1.985502772,-5.75672
58.9736,90.43884,1.956354983,-5.75672
58.9736,84.85827,1.928694174,-5.75672
59.03356,105.43663,2.022991516,-9.05814
59.09352,118.3417,2.073137804,-9.05814
59.09352,113.63309,2.055504817,-9.05814
59.09352,134.03706,2.127224893,-9.05814
59.15348,127.41013,2.105203959,-9.05814
59.27339,149.73241,2.175315815,-12.64486
59.29909,141.28682,2.15010165,-12.64486
59.39331,156.88252,2.195574557,-13.90837
59.51322,167.95647,2.225196738,-15.51832
59.51322,176.41452,2.246534327,-15.51832
59.57318,181.12313,2.257973915,-15.51832
59.63314,190.36595,2.27958927,-15.51832
59.69309,205.88691,2.313628736,-15.51832
59.69309,199.60877,2.300179619,-15.51832
59.74106,219.4198,2.341275815,-15.51832
59.75305,212.51384,2.327387219,-15.51832
59.81301,239.37034,2.379070337,-15.51832
59.81301,233.0922,2.367527741,-15.51832
59.81301,226.81405,2.355669953,-15.51832
59.89866,247.86576,2.394216538,-18.01136
60.00487,259.39064,2.413954301,-16.88372
60.11279,266.92441,2.426388291,-16.88372
60.31665,273.51646,2.436983467,-13.81666
61.43186,240.2423,2.380649477,-15.29415
61.5158,233.12708,2.367592724,-11.29475
61.58775,224.54695,2.35130716,-11.29475
61.70166,206.88967,2.315738807,-11.29475
61.75563,215.65291,2.333755323,-9.62505
61.87554,191.48206,2.282128091,-9.62505
61.88154,199.43438,2.299800027,-9.62505
61.94149,184.52379,2.266052366,-9.62505
62.09139,174.75779,2.242436544,-7.9237
62.25127,163.59665,2.213774406,-6.9096
62.30124,155.48738,2.191695146,-6.9096
62.42115,147.24731,2.16804737,-6.9096
62.54107,132.59832,2.122538022,-5.20649
62.57105,140.05361,2.146294308,-5.20649
62.72522,123.05031,2.090082712,-8.12749
62.7809,113.63309,2.055504817,-8.12749
62.93079,107.52934,2.03152698,-1.6274
62.95477,100.03045,2.000132223,-1.6274
63.02672,91.9735,1.963662714,-3.22518
63.47041,85.73024,1.93313404,-4.71399
63.9415,77.38429,1.888652802,-4.71399
64.48968,74.04591,1.869501075,-4.71399
64.48968,67.76777,1.831023195,-4.71399
64.57962,53.99074,1.73231928,-4.71399
64.6096,61.48963,1.78880188,-4.71399
64.69953,38.29538,1.583146383,-4.71399
64.75349,46.5616,1.668027896,-4.71399
65.01731,31.18015,1.4938782,-4.71399
65.38904,24.43115,1.38794391,-4.71399
66.10853,19.19936,1.283286752,-4.71399
66.82802,19.19936,1.283286752,-4.71399
67.54751,16.49627,1.217385756,-4.71399
68.26699,13.79318,1.139664404,-4.71399
68.94366,9.2216,0.96480628,-4.71399
69.70597,10.47972,1.020349679,-4.71399
70.42546,15.97309,1.203388939,-4.71399
71.08499,18.10069,1.257695131,-4.71399
71.74452,24.86713,1.395625665,-4.71399
72.49399,29.27055,1.466430883,-4.71399
72.97092,37.01121,1.568333284,-4.71399
73.00362,45.0967,1.654144763,-4.71399
73.39335,26.13148,1.417164007,-4.71399
73.66316,20.7689,1.317413495,-4.71399
74.08286,30.13379,1.479053757,-4.71399
74.38264,37.16183,1.570097092,-4.71399
74.62247,41.95763,1.622810949,-4.71399
75.10213,35.48329,1.550023881,-4.71399
75.57323,37.99642,1.57974268,-4.71399
75.95353,30.13379,1.479053757,-4.71399
76.29271,20.88101,1.319751501,-4.71399
77.02077,15.44992,1.188926235,-4.71399
77.74026,13.00842,1.11422455,-4.71399
78.45974,11.35168,1.05506014,-4.71399
79.17923,11.35168,1.05506014,-4.71399
79.89872,12.04925,1.080960015,-4.71399
80.61821,11.17729,1.048336519,-4.71399
81.3377,11.87486,1.074628498,-4.71399
82.10001,12.51015,1.097262517,-4.71399
82.61679,19.98413,1.300685246,-4.71399
82.90858,29.29671,1.466818852,-4.71399
83.0165,36.46425,1.561867285,-4.71399
83.19637,42.48081,1.628192789,-4.71399
83.49616,53.46756,1.728090365,-4.71399
83.49616,48.75895,1.688054345,-4.71399
83.55612,59.39691,1.773763852,-4.71399
83.55612,72.30199,1.859150251,-4.71399
83.62807,67.38411,1.828557497,-4.71399
83.67603,89.39249,1.951301035,-4.71399
83.67603,83.11434,1.919675961,-4.71399
83.67603,76.8362,1.885565878,-4.71399
83.76169,97.19034,1.987623101,-4.71399
83.79595,118.69048,2.074415886,-4.71399
83.79595,112.41234,2.050813988,-4.71399
83.79595,106.1342,2.025855351,-4.71399
83.8559,125.79699,2.09967025,-15.92251
83.8816,134.03706,2.127224893,-15.92251
84.10773,143.34963,2.156396576,-15.92251
84.33556,152.6099,2.183582708,-18.96239
84.57539,163.33506,2.213079416,-20.93237
84.81522,174.06022,2.240699528,-10.44392
84.90516,183.21584,2.262963018,-10.44392
85.17497,192.69845,2.284878221,-19.47187
85.33985,199.56517,2.300084746,-16.83714
85.4148,207.28206,2.316561716,-18.7586
85.51972,215.65291,2.333755323,-13.54494
