AirExchangeRate,AttenuationGroundwater,AttenuationSubslab,Peclet,Contaminated,SubslabConcentration,RelativeAirEntryRate,EntryRate,Gravel,Pathway,IndoorConcentration,IndoorOutdoorPressure,logIndoorConcentration,logAttenuationSubslab,logAttenuationGroundwater,logSubslabConcentration
0.1,0.0004985980140588144,0.0006988933770905449,2.1127849812758,Yes,0.004963285879432514,0.005560917679837089,144.6731997593062,Yes,Yes,26400.8496060766,-5,4.421617903130957,-3.1555890750028657,-3.302249455645755,-2.304230709230574
0.1,0.0003951265576518108,0.0005986565389473178,1.6902279850206845,Yes,0.004591854959609704,0.004448734143869787,114.64992196824984,Yes,Yes,20922.018399178178,-4,4.320603579685729,-3.2228222694649338,-3.403263779090984,-2.3380118382137343
0.1,0.0002925067532922678,0.0004939650438577028,1.2676709887654876,Yes,0.004119735674429287,0.003336550607902298,84.87375953528453,Yes,Yes,15488.282312973635,-3,4.190003256147764,-3.3063037834586555,-3.533864102628949,-2.3851306477579777
0.1,0.0001913576381404385,0.0003813862216208224,0.845113992510343,Yes,0.003490683508569079,0.0022243670719348948,55.52433228282925,Yes,Yes,10132.419470334702,-2,4.005713160775118,-3.4186350008079343,-3.7181541980015953,-2.457089525781345
0.1,9.334726074431131e-05,0.00025120990539718985,0.4225569962551676,Yes,0.0025852020381261745,0.0011121835359674376,27.085641177569343,Yes,Yes,4942.75332544561,-1,3.693968936968774,-3.599963240036248,-4.029898421807938,-2.587505510359375
0.1,5.1361954666623166e-06,5.238600614875728e-05,-0.4225569962551677,Yes,0.0006821123693099976,-0.0011121835359674376,1.4903184766067394,Yes,Yes,271.9624231129989,1,2.434508901967864,-4.280784710421552,-5.2893584568088485,-3.16614407497498
0.1,4.2043732389452045e-06,4.7828406226867876e-05,-0.8451139925103482,Yes,0.0006115683833211805,-0.002224367071934911,1.2199409390123401,Yes,Yes,222.62227774559918,2,2.347568621893903,-4.320314090765272,-5.376298736882809,-3.213554974705222
0.1,3.5439126900129377e-06,4.449094449802677e-05,-1.2676709887654818,Yes,0.0005541675094498359,-0.003336550607902277,1.028301706134157,Yes,Yes,187.6507794013424,3,2.2733503725806985,-4.35172837451882,-5.450516986196014,-3.2563589402648785
0.1,3.0398388587461554e-06,4.177730755825683e-05,-1.69022798502071,Yes,0.0005062205675500796,-0.0044487341438698615,0.8820396432537849,Yes,Yes,160.95998434321487,4,2.2067179211314514,-4.37905955263409,-5.517149437645261,-3.2956602135988553
0.1,2.6404121972610994e-06,3.9462315051786e-05,-2.112784981275833,Yes,0.0004654990963075511,-0.0055609176798371495,0.7661420031572826,Yes,Yes,139.8102747150487,5,2.1455390890640142,-4.403817440504908,-5.578328269712698,-3.332081157795474
0.3,0.00016619933801960608,0.00023296445903021762,2.1127849812759107,Yes,0.004963285879431786,0.005560917679837357,144.67319975930718,Yes,Yes,8800.283202025603,-5,3.9444966484112984,-3.632710329722461,-3.779370710365414,-2.3042307092306378
0.3,0.00013170885255060365,0.000199552179649108,1.690227985020715,Yes,0.004591854959609658,0.004448734143869875,114.6499219682498,Yes,Yes,6974.006133059394,-4,3.8434823249660663,-3.699943524184592,-3.8803850338106463,-2.3380118382137387
0.3,9.75022510974228e-05,0.00016465501461923084,1.2676709887655029,Yes,0.0041197356744293815,0.003336550607902335,84.87375953528448,Yes,Yes,5162.760770991224,-3,3.7128820014281025,-3.783425038178327,-4.01098535734861,-2.3851306477579675
0.3,6.378587938014596e-05,0.0001271287405402665,0.8451139925103271,Yes,0.003490683508569276,0.002224367071934849,55.5243322828289,Yes,Yes,3377.473156778223,-2,3.5285919060554534,-3.8957562555276226,-4.195275452721259,-2.4570895257813206
0.3,3.1115753581437184e-05,8.373663513239865e-05,0.4225569962551785,Yes,0.0025852020381261177,0.0011121835359674671,27.08564117756942,Yes,Yes,1647.5844418152076,-1,3.2168476822491128,-4.0770844947558995,-4.5070196765276,-2.5875055103593843
0.3,1.7120651555541016e-06,1.7462002049585738e-05,-0.4225569962551761,Yes,0.0006821123693099972,-0.0011121835359674595,1.4903184766067368,Yes,Yes,90.65414103766614,1,1.9573876472482006,-4.757905965141216,-5.766479711528512,-3.1661440749749805
