% Model,transport_soil_type.mph
% Version,COMSOL 5.3.1.275
% Date,"Mar 26 2020, 11:39"
% Table,Probe Table 1 {tbl1} - 
% matsw.comp1.sw1,depth (m),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
1,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,16.63889948348971,147.44772831495425,0.009891754561768789,1.8975293425313704E9,7708.799999999989,0.09999999999999998,6.648904233602353,246151.0666421971,1313899.999999999,3.3090099380389955,0.157378793768608,3.3057009281008893
1,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,17.590222986771586,194.9069447067041,0.009891754561768799,1.8975293425313714E9,7708.800000000002,0.10000000000000006,7.029053105513755,246151.06664219746,1313900.0000000012,4.700336272120233,0.22355123334912158,4.695635935847998
2,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,66.24233878594326,144.41798047286608,0.009891754561768789,1.8585390135752456E9,7550.39999999999,0.09999999999999998,26.470438578862392,246151.0666421971,1313899.999999999,75.85485908863558,3.607709389936717,75.77900422954541
2,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,84.88315877838065,190.90200748670335,0.009891754561768799,1.8585390135752475E9,7550.400000000001,0.10000000000000006,33.91931024784009,246151.06664219746,1313900.0000000012,103.11736616942764,4.904333020516042,103.01424880325573
3,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,21.791877364454884,144.41798047286608,0.009891754561768789,1.8585390135752456E9,7550.39999999999,0.09999999999999998,8.708034194835996,246151.0666421971,1313899.999999999,10.84532518725944,0.5158111422931239,10.834479862071962
3,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,24.710352190640172,190.90200748670335,0.009891754561768799,1.8585390135752475E9,7550.400000000001,0.10000000000000007,9.874256735379575,246151.06664219746,1313900.0000000012,15.1136428173996,0.7188152712111633,15.098529174581834
4,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,15.036924255717999,144.41798047286608,0.009891754561768789,1.8585390135752456E9,7550.39999999999,0.09999999999999998,6.00875493258479,246151.0666421971,1313899.999999999,0.9660947117722027,0.04594813048371948,0.965128617060411
4,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,15.325807857057297,190.90200748670335,0.009891754561768799,1.8585390135752475E9,7550.400000000001,0.10000000000000006,6.124192819679947,246151.06664219746,1313900.0000000007,1.388591749468704,0.06604238085121471,1.3872031577192017
5,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,15.05532951686845,139.36840073605256,0.009891754561768789,1.7935551319817052E9,7286.3999999999905,0.09999999999999998,6.016109674940511,246151.0666421971,1313899.999999999,0.9930127101565208,0.04722836904320228,0.9920196974463443
5,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,15.367570357857657,184.2271121200354,0.009891754561768799,1.7935551319817076E9,7286.400000000002,0.10000000000000006,6.140881114999771,246151.06664219746,1313900.0000000007,1.4496700965716913,0.06894730914470454,1.4482204264750846
6,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,14.998377459536314,139.36840073605256,0.009891754561768789,1.7935551319817052E9,7286.399999999992,0.09999999999999998,5.993351632830589,246151.0666421971,1313899.999999999,0.9097193857795648,0.04326688111633579,0.9088096663937668
6,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,15.419266105047072,184.2271121200354,0.009891754561768799,1.7935551319817076E9,7286.400000000002,0.10000000000000006,6.16153873557666,246151.06664219746,1313900.0000000007,1.5252759805601017,0.07254317710723984,1.5237507045795047
7,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,14.81718981047979,151.48739210440493,0.009891754561768789,1.949516447806201E9,7919.999999999998,0.09999999999999998,5.920949048267604,246151.0666421971,1313899.999999999,0.6447294568300987,0.030663777420729826,0.6440847273732556
