% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 26 2019, 14:44"
% Table,"Table 8 {tbl8} - Surface Average 1 {av1} (p, comp1.j_ck, c, dl.w)"
% Soil switch index,dp_bldg (Pa),Pressure (Pa),Probe variable j_ck (mol/(m^2*s)),Concentration (mol/m^3),"Darcy's velocity field, Z component (m/s)"
3,-13,-13,1.3227459194318534E-8,2.3352169730218905E-6,3.5136556849174095E-5
3,-12,-11.999999999999954,1.2309054628469939E-8,2.1773256181988413E-6,3.243353083219941E-5
3,-11,-10.999999999999995,1.1381273120864392E-8,2.0171742709291587E-6,2.973054047800775E-5
3,-10,-9.999999999999982,1.0446495413955616E-8,1.8560817879836386E-6,2.7027585785461178E-5
3,-9,-9,9.516357349586631E-9,1.6943527486978712E-6,2.432466675342167E-5
3,-8,-7.999999999999999,8.597279798248462E-9,1.5338058909911484E-6,2.162178338075104E-5
3,-7,-6.9999999999999885,7.697050299749959E-9,1.3759488573838767E-6,1.8918935666310653E-5
3,-6,-5.999999999999977,6.824967943968282E-9,1.222374516022994E-6,1.621612360896197E-5
3,-5,-4.999999999999991,5.989714714035448E-9,1.0747291017134906E-6,1.3513347207566042E-5
3,-4,-3.9999999999999996,5.1995190802373085E-9,9.346292621096804E-7,1.0810606460983659E-5
3,-3,-2.9999999999999885,4.462324125034243E-9,8.035503275964716E-7,8.107901368075536E-6
3,-2,-1.9999999999999998,3.7845283919279835E-9,6.827484959245687E-7,5.405231927702104E-6
3,-1,-0.9999999999999999,3.1666801480946417E-9,5.731184315518766E-7,2.70259813868581E-6
3,0,0,2.625007040289606E-9,4.7534853326906653E-7,0
3,1,0.9999999999999999,2.1469275195133972E-9,3.8950378795930765E-7,-2.702562489608885E-6
3,2,1.9999999999999998,1.735267543378418E-9,3.154092809851703E-7,-5.405089331243486E-6
3,3,2.9999999999999885,1.3865346696973808E-9,2.525036119753511E-7,-8.107580526044462E-6
3,4,3.9999999999999996,1.0957776466625398E-9,1.9994470291013604E-7,-1.0810036075152637E-5
3,5,4.999999999999991,8.570343855067293E-10,1.5669627446113295E-7,-1.3512455979709122E-5
3,6,5.999999999999977,6.638135555346003E-10,1.21618080883237E-7,-1.6214840240855186E-5
3,7,6.9999999999999885,5.095349143326405E-10,9.354645988620692E-8,-1.8917188859732363E-5
3,8,7.999999999999999,3.878809407023629E-10,7.135796408966127E-8,-2.1619501837482388E-5
3,9,9,2.9303765990175614E-10,5.401851016982112E-8,-2.4321779175247136E-5
3,10,9.999999999999982,2.1990405390626636E-10,4.060470427317944E-8,-2.702402087416884E-5
3,11,10.999999999999995,1.6394771441832814E-10,3.0332782945514154E-8,-2.9726226935389872E-5
3,12,11.999999999999954,1.215367617367727E-10,2.2530934557536575E-8,-3.242839736005263E-5
3,13,13,8.964121508838705E-11,1.6651194748812354E-8,-3.513053214930018E-5
3,14,13.999999999999977,6.582031229009759E-11,1.2250810843470453E-8,-3.78326313042756E-5
3,15,15.000000000000002,4.813872809826405E-11,8.977770616759161E-9,-4.0534694826121805E-5
